pokemon_name,pokedex_num,pkmn,type1,type2
Bulbasaur,#001,Bulbasaur,Grass,Poison
Ivysaur,#002,Ivysaur,Grass,Poison
Venusaur,#003,Venusaur,Grass,Poison
Charmander,#004,Charmander,Fire,null
Charmeleon,#005,Charmeleon,Fire,null
Charizard,#006,Charizard,Fire,Flying
Squirtle,#007,Squirtle,Water,null
Wartortle,#008,Wartortle,Water,null
Blastoise,#009,Blastoise,Water,null
Caterpie,#010,Caterpie,Bug,null
Metapod,#011,Metapod,Bug,null
Butterfree,#012,Butterfree,Bug,Flying
Weedle,#013,Weedle,Bug,Poison
Kakuna,#014,Kakuna,Bug,Poison
Beedrill,#015,Beedrill,Bug,Poison
Pidgey,#016,Pidgey,Normal,Flying
Pidgeotto,#017,Pidgeotto,Normal,Flying
Pidgeot,#018,Pidgeot,Normal,Flying
Rattata,#019,Rattata,Normal,null
Raticate,#020,Raticate,Normal,null
Spearow,#021,Spearow,Normal,Flying
Fearow,#022,Fearow,Normal,Flying
Ekans,#023,Ekans,Poison,null
Arbok,#024,Arbok,Poison,null
Pikachu,#025,Pikachu,Electric,null
Raichu,#026,Raichu,Electric,null
Sandshrew,#027,Sandshrew,Ground,null
Sandslash,#028,Sandslash,Ground,null
Nidoran♀,#029,Nidoran♀,Poison,null
Nidorina,#030,Nidorina,Poison,null
Nidoqueen,#031,Nidoqueen,Poison,Ground
Nidoran♂,#032,Nidoran♂,Poison,null
Nidorino,#033,Nidorino,Poison,null
Nidoking,#034,Nidoking,Poison,Ground
Clefairy,#035,Clefairy,Fairy,null
Clefable,#036,Clefable,Fairy,null
Vulpix,#037,Vulpix,Fire,null
Ninetales,#038,Ninetales,Fire,null
Jigglypuff,#039,Jigglypuff,Normal,Fairy
Wigglytuff,#040,Wigglytuff,Normal,Fairy
Zubat,#041,Zubat,Poison,Flying
Golbat,#042,Golbat,Poison,Flying
Oddish,#043,Oddish,Grass,Poison
Gloom,#044,Gloom,Grass,Poison
Vileplume,#045,Vileplume,Grass,Poison
Paras,#046,Paras,Bug,Grass
Parasect,#047,Parasect,Bug,Grass
Venonat,#048,Venonat,Bug,Poison
Venomoth,#049,Venomoth,Bug,Poison
Diglett,#050,Diglett,Ground,null
Dugtrio,#051,Dugtrio,Ground,null
Meowth,#052,Meowth,Normal,null
Persian,#053,Persian,Normal,null
Psyduck,#054,Psyduck,Water,null
Golduck,#055,Golduck,Water,null
Mankey,#056,Mankey,Fighting,null
Primeape,#057,Primeape,Fighting,null
Growlithe,#058,Growlithe,Fire,null
Arcanine,#059,Arcanine,Fire,null
Poliwag,#060,Poliwag,Water,null
Poliwhirl,#061,Poliwhirl,Water,null
Poliwrath,#062,Poliwrath,Water,Fighting
Abra,#063,Abra,Psychic,null
Kadabra,#064,Kadabra,Psychic,null
Alakazam,#065,Alakazam,Psychic,null
Machop,#066,Machop,Fighting,null
Machoke,#067,Machoke,Fighting,null
Machamp,#068,Machamp,Fighting,null
Bellsprout,#069,Bellsprout,Grass,Poison
