pokemon_name,pokedex_num,type1,type2
Chikorita,#001,Grass,null
Bayleef,#002,Grass,null
Meganium,#003,Grass,null
Cyndaquil,#004,Fire,null
Quilava,#005,Fire,null
Typhlosion,#006,Fire,null
Totodile,#007,Water,null
Croconaw,#008,Water,null
Feraligatr,#009,Water,null
Pidgey,#010,Normal,Flying
Pidgeotto,#011,Normal,Flying
Pidgeot,#012,Normal,Flying
Spearow,#013,Normal,Flying
Fearow,#014,Normal,Flying
Hoothoot,#015,Normal,Flying
Noctowl,#016,Normal,Flying
Rattata,#017,Normal,null
Raticate,#018,Normal,null
Sentret,#019,Normal,null
Furret,#020,Normal,null
Pichu,#021,Electric,null
Pikachu,#022,Electric,null
Raichu,#023,Electric,null
Caterpie,#024,Bug,null
Metapod,#025,Bug,null
Butterfree,#026,Bug,Flying
Weedle,#027,Bug,Poison
Kakuna,#028,Bug,Poison
Beedrill,#029,Bug,Poison
Ledyba,#030,Bug,Flying
Ledian,#031,Bug,Flying
Spinarak,#032,Bug,Poison
Ariados,#033,Bug,Poison
Geodude,#034,Rock,Ground
Graveler,#035,Rock,Ground
Golem,#036,Rock,Ground
Zubat,#037,Poison,Flying
Golbat,#038,Poison,Flying
Crobat,#039,Poison,Flying
Cleffa,#040,Normal,null
Clefairy,#041,Normal,null
Clefable,#042,Normal,null
Igglybuff,#043,Normal,null
Jigglypuff,#044,Normal,null
Wigglytuff,#045,Normal,null
Togepi,#046,Normal,null
Togetic,#047,Normal,Flying
Sandshrew,#048,Ground,null
Sandslash,#049,Ground,null
Ekans,#050,Poison,null
Arbok,#051,Poison,null
Dunsparce,#052,Normal,null
Mareep,#053,Electric,null
Flaaffy,#054,Electric,null
Ampharos,#055,Electric,null
Wooper,#056,Water,Ground
Quagsire,#057,Water,Ground
Gastly,#058,Ghost,Poison
Haunter,#059,Ghost,Poison
Gengar,#060,Ghost,Poison
Unown,#061,Psychic,null
Onix,#062,Rock,Ground
Steelix,#063,Steel,Ground
Bellsprout,#064,Grass,Poison
Weepinbell,#065,Grass,Poison
Victreebel,#066,Grass,Poison
Hoppip,#067,Grass,Flying
Skiploom,#068,Grass,Flying
Jumpluff,#069,Grass,Flying
Paras,#070,Bug,Grass
Parasect,#071,Bug,Grass
Poliwag,#072,Water,null
Poliwhirl,#073,Water,null
Poliwrath,#074,Water,Fighting
Politoed,#075,Water,null
Magikarp,#076,Water,null
Gyarados,#077,Water,Flying
Goldeen,#078,Water,null
Seaking,#079,Water,null
Slowpoke,#080,Water,Psychic
Slowbro,#081,Water,Psychic
Slowking,#082,Water,Psychic
Oddish,#083,Grass,Poison
Gloom,#084,Grass,Poison
Vileplume,#085,Grass,Poison
Bellossom,#086,Grass,null
Drowzee,#087,Psychic,null
Hypno,#088,Psychic,null
Abra,#089,Psychic,null
Kadabra,#090,Psychic,null
Alakazam,#091,Psychic,null
Ditto,#092,Normal,null
Pineco,#093,Bug,null
Forretress,#094,Bug,Steel
Nidoran♀,#095,Poison,null
Nidorina,#096,Poison,null
Nidoqueen,#097,Poison,Ground
Nidoran♂,#098,Poison,null
Nidorino,#099,Poison,null
Nidoking,#100,Poison,Ground
Yanma,#101,Bug,Flying
Yanmega,#102,Bug,Flying
Sunkern,#103,Grass,null
Sunflora,#104,Grass,null
Exeggcute,#105,Grass,Psychic
Exeggutor,#106,Grass,Psychic
Sudowoodo,#107,Rock,null
Wobbuffet,#108,Psychic,null
Venonat,#109,Bug,Poison
Venomoth,#110,Bug,Poison
Scyther,#111,Bug,Flying
Scizor,#112,Bug,Steel
Pinsir,#113,Bug,null
Heracross,#114,Bug,Fighting
Koffing,#115,Poison,null
Weezing,#116,Poison,null
Grimer,#117,Poison,null
Muk,#118,Poison,null
Magnemite,#119,Electric,Steel
Magneton,#120,Electric,Steel
Voltorb,#121,Electric,null
Electrode,#122,Electric,null
Aipom,#123,Normal,null
Ambipom,#124,Normal,null
Snubbull,#125,Normal,null
Granbull,#126,Normal,null
Vulpix,#127,Fire,null
Ninetales,#128,Fire,null
Growlithe,#129,Fire,null
Arcanine,#130,Fire,null
Stantler,#131,Normal,null
Marill,#132,Water,null
Azumarill,#133,Water,null
Diglett,#134,Ground,null
Dugtrio,#135,Ground,null
Mankey,#136,Fighting,null
Primeape,#137,Fighting,null
Meowth,#138,Normal,null
Persian,#139,Normal,null
Psyduck,#140,Water,null
Golduck,#141,Water,null
Machop,#142,Fighting,null
Machoke,#143,Fighting,null
Machamp,#144,Fighting,null
Tyrogue,#145,Fighting,null
Hitmonlee,#146,Fighting,null
Hitmonchan,#147,Fighting,null
Hitmontop,#148,Fighting,null
Girafarig,#149,Normal,Psychic
Tauros,#150,Normal,null
Miltank,#151,Normal,null
Magby,#152,Fire,null
Magmar,#153,Fire,null
Smoochum,#154,Ice,Psychic
Jynx,#155,Ice,Psychic
Elekid,#156,Electric,null
Electabuzz,#157,Electric,null
Mr. Mime,#158,Psychic,null
Smeargle,#159,Normal,null
Farfetch'd,#160,Normal,Flying
