pokemon_name,pokedex_num,type1,type2
Turtwig,001,Grass,null
Grotle,002,Grass,null
Torterra,003,Grass,Ground
Chimchar,004,Fire,null
Monferno,005,Fire,Fighting
Infernape,006,Fire,Fighting
Piplup,007,Water,null
Prinplup,008,Water,null
Empoleon,009,Water,Steel
Starly,010,Normal,Flying
Staravia,011,Normal,Flying
Staraptor,012,Normal,Flying
Bidoof,013,Normal,null
Bibarel,014,Normal,Water
Kricketot,015,Bug,null
Kricketune,016,Bug,null
Shinx,017,Electric,null
Luxio,018,Electric,null
Luxray,019,Electric,null
Abra,020,Psychic,null
Kadabra,021,Psychic,null
Alakazam,022,Psychic,null
Magikarp,023,Water,null
Gyarados,024,Water,Flying
Budew,025,Grass,Poison
Roselia,026,Grass,Poison
Roserade,027,Grass,Poison
Zubat,028,Poison,Flying
Golbat,029,Poison,Flying
Crobat,030,Poison,Flying
Geodude,031,Rock,Ground
Graveler,032,Rock,Ground
Golem,033,Rock,Ground
Onix,034,Steel,Ground
Steelix,035,Steel,Ground
Cranidos,036,Rock,null
Rampardos,037,Rock,null
Shieldon,038,Rock,Steel
Bastiodon,039,Rock,Steel
Machop,040,Fighting,null
Machoke,041,Fighting,null
Machamp,042,Fighting,null
Psyduck,043,Water,null
Golduck,044,Water,null
Burmy,045,Bug,null
Wormadam,046,Bug,Grass
Mothim,047,Bug,Flying
Wurmple,048,Bug,null
Silcoon,049,Bug,null
Beautifly,050,Bug,Flying
Cascoon,051,Bug,null
Dustox,052,Bug,Poison
Combee,053,Bug,Flying
Vespiquen,054,Bug,Flying
Pachirisu,055,Electric,null
Buizel,056,Water,null
Floatzel,057,Water,null
Cherubi,058,Grass,null
Cherrim,059,Grass,null
Shellos,060,Water,Ground
Gastrodon,061,Water,Ground
Heracross,062,Fighting,Bug
Aipom,063,Normal,null
Ambipom,064,Normal,null
Drifloon,065,Ghost,Flying
Drifblim,066,Ghost,Flying
Buneary,067,Normal,null
Lopunny,068,Normal,null
Gastly,069,Ghost,null
Haunter,070,Ghost,null
Gengar,071,Ghost,Poison
Misdreavus,072,Ghost,null
Mismagius,073,Ghost,null
Murkrow,074,Dark,Flying
Honchkrow,075,Dark,Flying
Glammeow,076,Normal,Dark
Purugly,077,Normal,Dark
Goldeen,078,Water,null
Seaking,079,Water,null
Barboach,080,Water,Ground
Whiscash,081,Water,Ground
Chingling,082,Psychic,null
