pokemon_name,pokedex_num,type1,type2
Victini,#000,Psychic,Fire
Snivy,#001,Grass,null
Servine,#002,Grass,null
Serperior,#003,Grass,null
Tepig,#004,Fire,null
Pignite,#005,Fire,Fighting
Emboar,#006,Fire,Fighting
Oshawott,#007,Water,null
Dewott,#008,Water,null
Samurott,#009,Water,null
Patrat,#010,Normal,null
Watchog,#011,Normal,null
Lillipup,#012,Normal,null
Herdier,#013,Normal,null
Stoutland,#014,Normal,null
Purrloin,#015,Dark,null
Liepard,#016,Dark,null
Pansage,#017,Grass,null
Simisage,#018,Grass,null
Pansear,#019,Fire,null
Simisear,#020,Fire,null
Panpour,#021,Water,null
Simipour,#022,Water,null
Munna,#023,Psychic,null
Musharna,#024,Psychic,null
Pidove,#025,Normal,Flying
Tranquill,#026,Normal,Flying
Unfezant,#027,Normal,Flying
Blitzle,#028,Electric,null
Zebstrika,#029,Electric,null
Roggenrola,#030,Rock,null
Boldore,#031,Rock,null
Gigalith,#032,Rock,null
Woobat,#033,Psychic,Flying
Swoobat,#034,Psychic,Flying
Drilbur,#035,Ground,null
Excadrill,#036,Ground,Steel
Audino,#037,Normal,null
Timburr,#038,Fighting,null
Gurdurr,#039,Fighting,null
Conkeldurr,#040,Fighting,null
Tympole,#041,Water,null
Palpitoad,#042,Water,Ground
Seismitoad,#043,Water,Ground
Throh,#044,Fighting,null
Sawk,#045,Fighting,null
Sewaddle,#046,Bug,Grass
Swadloon,#047,Bug,Grass
Leavanny,#048,Bug,Grass
Venipede,#049,Bug,Poison
Whirlipede,#050,Bug,Poison
Scolipede,#051,Bug,Poison
Cottonee,#052,Grass,null
Whimsicott,#053,Grass,null
Petilil,#054,Grass,null
Lilligant,#055,Grass,null
Basculin,#056,Water,null
Sandile,#057,Ground,Dark
Krokorok,#058,Ground,Dark
Krookodile,#059,Ground,Dark
Darumaka,#060,Fire,null
Darmanitan,#061,Fire,null
Maractus,#062,Grass,null
Dwebble,#063,Bug,Rock
Crustle,#064,Bug,Rock
Scraggy,#065,Dark,Fighting
Scrafty,#066,Dark,Fighting
Sigilyph,#067,Psychic,Flying
Yamask,#068,Ghost,null
Cofagrigus,#069,Ghost,null
Tirtouga,#070,Water,Rock
Carracosta,#071,Water,Rock
Archen,#072,Rock,Flying
Archeops,#073,Rock,Flying
Trubbish,#074,Poison,null
Garbodor,#075,Poison,null
Zorua,#076,Dark,null
Zoroark,#077,Dark,null
Minccino,#078,Normal,null
Cinccino,#079,Normal,null
Gothita,#080,Psychic,null
Gothorita,#081,Psychic,null
Gothitelle,#082,Psychic,null
Solosis,#083,Psychic,null
Duosion,#084,Psychic,null
Reuniclus,#085,Psychic,null
Ducklett,#086,Water,Flying
Swanna,#087,Water,Flying
Vanillite,#088,Ice,null
Vanillish,#089,Ice,null
Vanilluxe,#090,Ice,null
Deerling,#091,Normal,Grass
Sawsbuck,#092,Normal,Grass
Emolga,#093,Electric,Flying
Karrablast,#094,Bug,null
Escavalier,#095,Bug,Steel
Foongus,#096,Grass,Poison
Amoonguss,#097,Grass,Poison
Frillish,#098,Water,Ghost
Jellicent,#099,Water,Ghost
Alomomola,#100,Water,null
Joltik,#101,Bug,Electric
Galvantula,#102,Bug,Electric
Ferroseed,#103,Grass,Steel
Ferrothorn,#104,Grass,Steel
Klink,#105,Steel,null
Klang,#106,Steel,null
Klinklang,#107,Steel,null
Tynamo,#108,Electric,null
Eelektrik,#109,Electric,null
Eelektross,#110,Electric,null
Elgyem,#111,Psychic,null
Beheeyem,#112,Psychic,null
Litwick,#113,Ghost,Fire
Lampent,#114,Ghost,Fire
Chandelure,#115,Ghost,Fire
Axew,#116,Dragon,null
Fraxure,#117,Dragon,null
Haxorus,#118,Dragon,null
Cubchoo,#119,Ice,null
Beartic,#120,Ice,null
Cryogonal,#121,Ice,null
Shelmet,#122,Bug,null
Accelgor,#123,Bug,null
Stunfisk,#124,Ground,Electric
Mienfoo,#125,Fighting,null
Mienshao,#126,Fighting,null
Druddigon,#127,Dragon,null
Golett,#128,Ground,Ghost
Golurk,#129,Ground,Ghost
Pawniard,#130,Dark,Steel
Bisharp,#131,Dark,Steel
Bouffalant,#132,Normal,null
Rufflet,#133,Normal,Flying
Braviary,#134,Normal,Flying
Vullaby,#135,Dark,Flying
Mandibuzz,#136,Dark,Flying
Heatmor,#137,Fire,null
Durant,#138,Bug,Steel
Deino,#139,Dark,Dragon
Zweilous,#140,Dark,Dragon
Hydreigon,#141,Dark,Dragon
Larvesta,#142,Bug,Fire
Volcarona,#143,Bug,Fire
Cobalion,#144,Steel,Fighting
Terrakion,#145,Rock,Fighting
Virizion,#146,Grass,Fighting
Tornadus,#147,Flying,null
Thundurus,#148,Electric,Flying
Reshiram,#149,Dragon,Fire
Zekrom,#150,Dragon,Electric
Landorus,#151,Ground,Flying
Kyurem,#152,Dragon,Ice
Keldeo,#153,Water,Fighting
Meloetta,#154,Normal,Psychic
Genesect,#155,Bug,Steel
