pokemon_name,pokedex_num,pkmn,type1,type2
Victini,000,Victini,Psychic,Fire
Snivy,001,Snivy,Grass,null
Servine,002,Servine,Grass,null
Serperior,003,Serperior,Grass,null
Tepig,004,Tepig,Fire,null
Pignite,005,Pignite,Fire,Fighting
Emboar,006,Emboar,Fire,Fighting
Oshawott,007,Oshawott,Water,null
Dewott,008,Dewott,Water,null
Samurott,009,Samurott,Water,null
Patrat,010,Patrat,Normal,null
Watchog,011,Watchog,Normal,null
Purrloin,012,Purrloin,Dark,null
Liepard,013,Liepard,Dark,null
Pidove,014,Pidove,Normal,Flying
Tranquill,015,Tranquill,Normal,Flying
Unfezant,016,Unfezant,Normal,Flying
Sewaddle,017,Sewaddle,Bug,Grass
Swadloon,018,Swadloon,Bug,Grass
Leavanny,019,Leavanny,Bug,Grass
Sunkern,020,Sunkern,Grass,null
Sunflora,021,Sunflora,Grass,null
Lillipup,022,Lillipup,Normal,null
Herdier,023,Herdier,Normal,null
Stoutland,024,Stoutland,Normal,null
Mareep,025,Mareep,Electric,null
Flaaffy,026,Flaaffy,Electric,null
Ampharos,027,Ampharos,Electric,null
Psyduck,028,Psyduck,Water,null
Golduck,029,Golduck,Water,null
Azurill,030,Azurill,Normal,null
Marill,031,Marill,Water,null
Azumarill,032,Azumarill,Water,null
Riolu,033,Riolu,Fighting,null
Lucario,034,Lucario,Fighting,Steel
Dunsparce,035,Dunsparce,Normal,null
Audino,036,Audino,Normal,null
Pansage,037,Pansage,Grass,null
Simisage,038,Simisage,Grass,null
Pansear,039,Pansear,Fire,null
Simisear,040,Simisear,Fire,null
Panpour,041,Panpour,Water,null
Simipour,042,Simipour,Water,null
Venipede,043,Venipede,Bug,Poison
Whirlipede,044,Whirlipede,Bug,Poison
Scolipede,045,Scolipede,Bug,Poison
Koffing,046,Koffing,Poison,null
Weezing,047,Weezing,Poison,null
Magnemite,048,Magnemite,Electric,Steel
Magneton,049,Magneton,Electric,Steel
Magnezone,050,Magnezone,Electric,Steel
Growlithe,051,Growlithe,Fire,null
Arcanine,052,Arcanine,Fire,null
Magby,053,Magby,Fire,null
Magmar,054,Magmar,Fire,null
