pokemon_name,pokedex_num,pkmn,type1,type2
Chespin,#001,Chespin,Grass,null
Quilladin,#002,Quilladin,Grass,null
Chesnaught,#003,Chesnaught,Grass,Fighting
Fennekin,#004,Fennekin,Fire,null
Braixen,#005,Braixen,Fire,null
Delphox,#006,Delphox,Fire,Psychic
Froakie,#007,Froakie,Water,null
Frogadier,#008,Frogadier,Water,null
Greninja,#009,Greninja,Water,Dark
Bunnelby,#010,Bunnelby,Normal,null
Diggersby,#011,Diggersby,Normal,Ground
Zigzagoon,#012,Zigzagoon,Normal,null
Linoone,#013,Linoone,Normal,null
Fletchling,#014,Fletchling,Normal,Flying
Fletchinder,#015,Fletchinder,Fire,Flying
Talonflame,#016,Talonflame,Fire,Flying
Pidgey,#017,Pidgey,Normal,Flying
Pidgeotto,#018,Pidgeotto,Normal,Flying
Pidgeot,#019,Pidgeot,Normal,Flying
Scatterbug,#020,Scatterbug,Bug,null
Spewpa,#021,Spewpa,Bug,null
Vivillon,#022,Vivillon,Bug,Flying
Caterpie,#023,Caterpie,Bug,null
Metapod,#024,Metapod,Bug,null
Butterfree,#025,Butterfree,Bug,Flying
Weedle,#026,Weedle,Bug,Poison
Kakuna,#027,Kakuna,Bug,Poison
Beedrill,#028,Beedrill,Bug,Poison
Pansage,#029,Pansage,Grass,null
Simisage,#030,Simisage,Grass,null
Pansear,#031,Pansear,Fire,null
Simisear,#032,Simisear,Fire,null
Panpour,#033,Panpour,Water,null
Simipour,#034,Simipour,Water,null
Pichu,#035,Pichu,Electric,null
Pikachu,#036,Pikachu,Electric,null
Raichu,#037,Raichu,Electric,null
Bidoof,#038,Bidoof,Normal,null
Bibarel,#039,Bibarel,Normal,Water
Dunsparce,#040,Dunsparce,Normal,null
Azurill,#041,Azurill,Normal,Fairy
Marill,#042,Marill,Water,Fairy
Azumarill,#043,Azumarill,Water,Fairy
Burmy,#044,Burmy,Bug,null
Wormadam,#045,Wormadam,Bug,Grass
Mothim,#046,Mothim,Bug,Flying
Surskit,#047,Surskit,Bug,Water
Masquerain,#048,Masquerain,Bug,Flying
Magikarp,#049,Magikarp,Water,null
Gyarados,#050,Gyarados,Water,Flying
Corphish,#051,Corphish,Water,null
Crawdaunt,#052,Crawdaunt,Water,Dark
Goldeen,#053,Goldeen,Water,null
Seaking,#054,Seaking,Water,null
Carvanha,#055,Carvanha,Water,Dark
Sharpedo,#056,Sharpedo,Water,Dark
Litleo,#057,Litleo,Fire,Normal
Pyroar,#058,Pyroar,Fire,Normal
Psyduck,#059,Psyduck,Water,null
Golduck,#060,Golduck,Water,null
Farfetch'd,#061,Farfetch'd,Normal,Flying
Riolu,#062,Riolu,Fighting,null
Lucario,#063,Lucario,Fighting,Steel
Ralts,#064,Ralts,Psychic,Fairy
Kirlia,#065,Kirlia,Psychic,Fairy
Gardevoir,#066,Gardevoir,Psychic,Fairy
Gallade,#067,Gallade,Psychic,Fighting
Flabébé,#068,Flabébé,Fairy,null
Floette,#069,Floette,Fairy,null
Florges,#070,Florges,Fairy,null
Budew,#071,Budew,Grass,Poison
Roselia,#072,Roselia,Grass,Poison
Roserade,#073,Roserade,Grass,Poison
Ledyba,#074,Ledyba,Bug,Flying
Ledian,#075,Ledian,Bug,Flying
Combee,#076,Combee,Bug,Flying
Vespiquen,#077,Vespiquen,Bug,Flying
Skitty,#078,Skitty,Normal,null
Delcatty,#079,Delcatty,Normal,null
Bulbasaur,#080,Bulbasaur,Grass,Poison
Ivysaur,#081,Ivysaur,Grass,Poison
Venusaur,#082,Venusaur,Grass,Poison
Charmander,#083,Charmander,Fire,null
Charmeleon,#084,Charmeleon,Fire,null
Charizard,#085,Charizard,Fire,Flying
Squirtle,#086,Squirtle,Water,null
Wartortle,#087,Wartortle,Water,null
Blastoise,#088,Blastoise,Water,null
Skiddo,#089,Skiddo,Grass,null
Gogoat,#090,Gogoat,Grass,null
Pancham,#091,Pancham,Fighting,null
