pokemon_name,pokedex_num,pkmn,type1,type2
Drifloon,#001,Drifloon,Ghost,Flying
Drifblim,#002,Drifblim,Ghost,Flying
Mienfoo,#003,Mienfoo,Fighting,null
Mienshao,#004,Mienshao,Fighting,null
Zangoose,#005,Zangoose,Normal,null
Seviper,#006,Seviper,Poison,null
Spoink,#007,Spoink,Psychic,null
Grumpig,#008,Grumpig,Psychic,null
Absol,#009,Absol,Dark,null
Inkay,#010,Inkay,Dark,Psychic
Malamar,#011,Malamar,Dark,Psychic
Lunatone,#012,Lunatone,Rock,Psychic
Solrock,#013,Solrock,Rock,Psychic
Bagon,#014,Bagon,Dragon,null
Shelgon,#015,Shelgon,Dragon,null
Salamence,#016,Salamence,Dragon,Flying
Wingull,#017,Wingull,Water,Flying
Pelipper,#018,Pelipper,Water,Flying
Taillow,#019,Taillow,Normal,Flying
Swellow,#020,Swellow,Normal,Flying
Binacle,#021,Binacle,Rock,Water
Barbaracle,#022,Barbaracle,Rock,Water
Dwebble,#023,Dwebble,Bug,Rock
Crustle,#024,Crustle,Bug,Rock
Tentacool,#025,Tentacool,Water,Poison
Tentacruel,#026,Tentacruel,Water,Poison
Wailmer,#027,Wailmer,Water,null
Wailord,#028,Wailord,Water,null
Luvdisc,#029,Luvdisc,Water,null
Skrelp,#030,Skrelp,Poison,Water
Dragalge,#031,Dragalge,Poison,Dragon
Clauncher,#032,Clauncher,Water,null
Clawitzer,#033,Clawitzer,Water,null
Staryu,#034,Staryu,Water,null
Starmie,#035,Starmie,Water,Psychic
Shellder,#036,Shellder,Water,null
Cloyster,#037,Cloyster,Water,Ice
Qwilfish,#038,Qwilfish,Water,Poison
Horsea,#039,Horsea,Water,null
Seadra,#040,Seadra,Water,null
Kingdra,#041,Kingdra,Water,Dragon
Relicanth,#042,Relicanth,Water,Rock
Sandile,#043,Sandile,Ground,Dark
Krokorok,#044,Krokorok,Ground,Dark
Krookodile,#045,Krookodile,Ground,Dark
Helioptile,#046,Helioptile,Electric,Normal
Heliolisk,#047,Heliolisk,Electric,Normal
Hippopotas,#048,Hippopotas,Ground,null
Hippowdon,#049,Hippowdon,Ground,null
Rhyhorn,#050,Rhyhorn,Ground,Rock
Rhydon,#051,Rhydon,Ground,Rock
Rhyperior,#052,Rhyperior,Ground,Rock
Onix,#053,Onix,Rock,Ground
Steelix,#054,Steelix,Steel,Ground
Woobat,#055,Woobat,Psychic,Flying
Swoobat,#056,Swoobat,Psychic,Flying
Machop,#057,Machop,Fighting,null
Machoke,#058,Machoke,Fighting,null
Machamp,#059,Machamp,Fighting,null
Cubone,#060,Cubone,Ground,null
Marowak,#061,Marowak,Ground,null
Kangaskhan,#062,Kangaskhan,Normal,null
Mawile,#063,Mawile,Steel,Fairy
Tyrunt,#064,Tyrunt,Rock,Dragon
Tyrantrum,#065,Tyrantrum,Rock,Dragon
Amaura,#066,Amaura,Rock,Ice
Aurorus,#067,Aurorus,Rock,Ice
Aerodactyl,#068,Aerodactyl,Rock,Flying
Ferroseed,#069,Ferroseed,Grass,Steel
Ferrothorn,#070,Ferrothorn,Grass,Steel
Snubbull,#071,Snubbull,Fairy,null
Granbull,#072,Granbull,Fairy,null
Electrike,#073,Electrike,Electric,null
Manectric,#074,Manectric,Electric,null
Houndour,#075,Houndour,Dark,Fire
Houndoom,#076,Houndoom,Dark,Fire
Eevee,#077,Eevee,Normal,null
Vaporeon,#078,Vaporeon,Water,null
Jolteon,#079,Jolteon,Electric,null
Flareon,#080,Flareon,Fire,null
Espeon,#081,Espeon,Psychic,null
Umbreon,#082,Umbreon,Dark,null
Leafeon,#083,Leafeon,Grass,null
Glaceon,#084,Glaceon,Ice,null
Sylveon,#085,Sylveon,Fairy,null
Emolga,#086,Emolga,Electric,Flying
Yanma,#087,Yanma,Bug,Flying
Yanmega,#088,Yanmega,Bug,Flying
Hawlucha,#089,Hawlucha,Fighting,Flying
Sigilyph,#090,Sigilyph,Psychic,Flying
Golett,#091,Golett,Ground,Ghost
Golurk,#092,Golurk,Ground,Ghost
Nosepass,#093,Nosepass,Rock,null
Probopass,#094,Probopass,Rock,Steel
Makuhita,#095,Makuhita,Fighting,null
Hariyama,#096,Hariyama,Fighting,null
Throh,#097,Throh,Fighting,null
Sawk,#098,Sawk,Fighting,null
Starly,#099,Starly,Normal,Flying
Staravia,#100,Staravia,Normal,Flying
Staraptor,#101,Staraptor,Normal,Flying
Stunky,#102,Stunky,Poison,Dark
Skuntank,#103,Skuntank,Poison,Dark
Nidoran♀,#104,Nidoran♀,Poison,null
Nidorina,#105,Nidorina,Poison,null
Nidoqueen,#106,Nidoqueen,Poison,Ground
Nidoran♂,#107,Nidoran♂,Poison,null
Nidorino,#108,Nidorino,Poison,null
Nidoking,#109,Nidoking,Poison,Ground
Dedenne,#110,Dedenne,Electric,Fairy
Chingling,#111,Chingling,Psychic,null
Chimecho,#112,Chimecho,Psychic,null
Mime Jr.,#113,Mime Jr.,Psychic,Fairy
Mr. Mime,#114,Mr. Mime,Psychic,Fairy
Solosis,#115,Solosis,Psychic,null
Duosion,#116,Duosion,Psychic,null
Reuniclus,#117,Reuniclus,Psychic,null
Wynaut,#118,Wynaut,Psychic,null
Wobbuffet,#119,Wobbuffet,Psychic,null
Roggenrola,#120,Roggenrola,Rock,null
Boldore,#121,Boldore,Rock,null
Gigalith,#122,Gigalith,Rock,null
Sableye,#123,Sableye,Dark,Ghost
Carbink,#124,Carbink,Rock,Fairy
Tauros,#125,Tauros,Normal,null
Miltank,#126,Miltank,Normal,null
Mareep,#127,Mareep,Electric,null
Flaaffy,#128,Flaaffy,Electric,null
Ampharos,#129,Ampharos,Electric,null
Pinsir,#130,Pinsir,Bug,null
Heracross,#131,Heracross,Bug,Fighting
Pachirisu,#132,Pachirisu,Electric,null
Slowpoke,#133,Slowpoke,Water,Psychic
Slowbro,#134,Slowbro,Water,Psychic
Slowking,#135,Slowking,Water,Psychic
Exeggcute,#136,Exeggcute,Grass,Psychic
Exeggutor,#137,Exeggutor,Grass,Psychic
Chatot,#138,Chatot,Normal,Flying
Mantyke,#139,Mantyke,Water,Flying
Mantine,#140,Mantine,Water,Flying
Clamperl,#141,Clamperl,Water,null
Huntail,#142,Huntail,Water,null
Gorebyss,#143,Gorebyss,Water,null
Remoraid,#144,Remoraid,Water,null
Octillery,#145,Octillery,Water,null
Corsola,#146,Corsola,Water,Rock
Chinchou,#147,Chinchou,Water,Electric
Lanturn,#148,Lanturn,Water,Electric
Alomomola,#149,Alomomola,Water,null
Lapras,#150,Lapras,Water,Ice
Articuno,#151,Articuno,Ice,Flying
Zapdos,#152,Zapdos,Electric,Flying
Moltres,#153,Moltres,Fire,Flying
