Name,Number,Type1,Type2
Treecko,#001,Grass,null
Grovyle,#002,Grass,null
Sceptile,#003,Grass,null
Torchic,#004,Fire,null
Combusken,#005,Fire,Fighting
Blaziken,#006,Fire,Fighting
Mudkip,#007,Water,null
Marshtomp,#008,Water,Ground
Swampert,#009,Water,Ground
Poochyena,#010,Dark,null
Mightyena,#011,Dark,null
Zigzagoon,#012,Normal,null
Linoone,#013,Normal,null
Wurmple,#014,Bug,null
Silcoon,#015,Bug,null
Beautifly,#016,Bug,Flying
Cascoon,#017,Bug,null
Dustox,#018,Bug,Poison
Lotad,#019,Water,Grass
Lombre,#020,Water,Grass
Ludicolo,#021,Water,Grass
Seedot,#022,Grass,null
Nuzleaf,#023,Grass,Dark
Shiftry,#024,Grass,Dark
Taillow,#025,Normal,Flying
Swellow,#026,Normal,Flying
Wingull,#027,Water,Flying
Pelipper,#028,Water,Flying
Ralts,#029,Psychic,Fairy
Kirlia,#030,Psychic,Fairy
Gardevoir,#031,Psychic,Fairy
Gallade,#032,Psychic,Fighting
Surskit,#033,Bug,Water
Masquerain,#034,Bug,Flying
Shroomish,#035,Grass,null
Breloom,#036,Grass,Fighting
Slakoth,#037,Normal,null
Vigoroth,#038,Normal,null
Slaking,#039,Normal,null
Abra,#040,Psychic,null
Kadabra,#041,Psychic,null
Alakazam,#042,Psychic,null
Nincada,#043,Bug,Ground
Ninjask,#044,Bug,Flying
Shedinja,#045,Bug,Ghost
Whismur,#046,Normal,null
Loudred,#047,Normal,null
Exploud,#048,Normal,null
Makuhita,#049,Fighting,null
Hariyama,#050,Fighting,null
Goldeen,#051,Water,null
Seaking,#052,Water,null
Magikarp,#053,Water,null
Gyarados,#054,Water,Flying
Azurill,#055,Fairy,null
Marill,#056,Water,Fairy
Azumarill,#057,Water,Fairy
Geodude,#058,Rock,Ground
Graveler,#059,Rock,Ground
Golem,#060,Rock,Ground
Nosepass,#061,Rock,null
Probopass,#062,Rock,Steel
Skitty,#063,Normal,null
Delcatty,#064,Normal,null
Zubat,#065,Poison,Flying
Golbat,#066,Poison,Flying
Crobat,#067,Poison,Flying
Tentacool,#068,Water,Poison
Tentacruel,#069,Water,Poison
Sableye,#070,Dark,Ghost
Mawile,#071,Steel,Fairy
Aron,#072,Steel,Rock
Lairon,#073,Steel,Rock
Aggron,#074,Steel,Rock
Machop,#075,Fighting,null
Machoke,#076,Fighting,null
Machamp,#077,Fighting,null
Meditite,#078,Fighting,Psychic
Medicham,#079,Fighting,Psychic
Electrike,#080,Electric,null
Manectric,#081,Electric,null
Plusle,#082,Electric,null
Minun,#083,Electric,null
Magnemite,#084,Electric,Steel
Magneton,#085,Electric,Steel
Magnezone,#086,Electric,Steel
Voltorb,#087,Electric,null
Electrode,#088,Electric,null
Volbeat,#089,Bug,null
Illumise,#090,Bug,null
Oddish,#091,Grass,Poison
Gloom,#092,Grass,Poison
Vileplume,#093,Grass,Poison
Bellossom,#094,Grass,null
Doduo,#095,Normal,Flying
Dodrio,#096,Normal,Flying
Budew,#097,Grass,Poison
Roselia,#098,Grass,Poison
Roserade,#099,Grass,Poison
Gulpin,#100,Poison,null
Swalot,#101,Poison,null
Carvanha,#102,Water,Dark
Sharpedo,#103,Water,Dark
Wailmer,#104,Water,null
Wailord,#105,Water,null
Numel,#106,Fire,Ground
Camerupt,#107,Fire,Ground
Slugma,#108,Fire,null
Magcargo,#109,Fire,Rock
Torkoal,#110,Fire,null
Grimer,#111,Poison,null
Muk,#112,Poison,null
Koffing,#113,Poison,null
Weezing,#114,Poison,null
Spoink,#115,Psychic,null
Grumpig,#116,Psychic,null
Sandshrew,#117,Ground,null
Sandslash,#118,Ground,null
Spinda,#119,Normal,null
Skarmory,#120,Steel,Flying
Trapinch,#121,Ground,null
Vibrava,#122,Ground,Dragon
Flygon,#123,Ground,Dragon
Cacnea,#124,Grass,null
Cacturne,#125,Grass,Dark
Swablu,#126,Normal,Flying
