Name,Number,Type1,Type2
Bulbasaur,#001,Grass,Poison
Ivysaur,#002,Grass,Poison
Venusaur,#003,Grass,Poison
Charmander,#004,Fire,null
Charmeleon,#005,Fire,null
Charizard,#006,Fire,Flying
Squirtle,#007,Water,null
Wartortle,#008,Water,null
Blastoise,#009,Water,null
Caterpie,#010,Bug,null
Metapod,#011,Bug,null
Butterfree,#012,Bug,Flying
Weedle,#013,Bug,Poison
Kakuna,#014,Bug,Poison
Beedrill,#015,Bug,Poison
Pidgey,#016,Normal,Flying
Pidgeotto,#017,Normal,Flying
Pidgeot,#018,Normal,Flying
Rattata,#019,Normal,null
Raticate,#020,Normal,null
Spearow,#021,Normal,Flying
Fearow,#022,Normal,Flying
Ekans,#023,Poison,null
Arbok,#024,Poison,null
Pikachu,#025,Electric,null
Raichu,#026,Electric,null
Sandshrew,#027,Ground,null
Sandslash,#028,Ground,null
Nidoran♀,#029,Poison,null
Nidorina,#030,Poison,null
Nidoqueen,#031,Poison,Ground
Nidoran♂,#032,Poison,null
Nidorino,#033,Poison,null
Nidoking,#034,Poison,Ground
Clefairy,#035,Fairy,null
Clefable,#036,Fairy,null
Vulpix,#037,Fire,null
Ninetales,#038,Fire,null
Jigglypuff,#039,Normal,Fairy
Wigglytuff,#040,Normal,Fairy
Zubat,#041,Poison,Flying
Golbat,#042,Poison,Flying
Oddish,#043,Grass,Poison
Gloom,#044,Grass,Poison
Vileplume,#045,Grass,Poison
Paras,#046,Bug,Grass
Parasect,#047,Bug,Grass
Venonat,#048,Bug,Poison
Venomoth,#049,Bug,Poison
Diglett,#050,Ground,null
Dugtrio,#051,Ground,null
Meowth,#052,Normal,null
Persian,#053,Normal,null
Psyduck,#054,Water,null
Golduck,#055,Water,null
Mankey,#056,Fighting,null
Primeape,#057,Fighting,null
Growlithe,#058,Fire,null
Arcanine,#059,Fire,null
Poliwag,#060,Water,null
Poliwhirl,#061,Water,null
Poliwrath,#062,Water,Fighting
Abra,#063,Psychic,null
Kadabra,#064,Psychic,null
Alakazam,#065,Psychic,null
Machop,#066,Fighting,null
Machoke,#067,Fighting,null
Machamp,#068,Fighting,null
Bellsprout,#069,Grass,Poison
Weepinbell,#070,Grass,Poison
Victreebel,#071,Grass,Poison
Tentacool,#072,Water,Poison
Tentacruel,#073,Water,Poison
Geodude,#074,Rock,Ground
Graveler,#075,Rock,Ground
Golem,#076,Rock,Ground
Ponyta,#077,Fire,null
Rapidash,#078,Fire,null
Slowpoke,#079,Water,Psychic
Slowbro,#080,Water,Psychic
Magnemite,#081,Electric,Steel
Magneton,#082,Electric,Steel
Farfetch'd,#083,Normal,Flying
Doduo,#084,Normal,Flying
Dodrio,#085,Normal,Flying
Seel,#086,Water,null
Dewgong,#087,Water,Ice
Grimer,#088,Poison,null
Muk,#089,Poison,null
Shellder,#090,Water,null
Cloyster,#091,Water,Ice
Gastly,#092,Ghost,Poison
Haunter,#093,Ghost,Poison
Gengar,#094,Ghost,Poison
Onix,#095,Rock,Ground
Drowzee,#096,Psychic,null
Hypno,#097,Psychic,null
Krabby,#098,Water,null
Kingler,#099,Water,null
Voltorb,#100,Electric,null
Electrode,#101,Electric,null
Exeggcute,#102,Grass,Psychic
Exeggutor,#103,Grass,Psychic
Cubone,#104,Ground,null
Marowak,#105,Ground,null
Hitmonlee,#106,Fighting,null
Hitmonchan,#107,Fighting,null
Lickitung,#108,Normal,null
Koffing,#109,Poison,null
Weezing,#110,Poison,null
Rhyhorn,#111,Ground,Rock
Rhydon,#112,Ground,Rock
Chansey,#113,Normal,null
Tangela,#114,Grass,null
Kangaskhan,#115,Normal,null
Horsea,#116,Water,null
Seadra,#117,Water,null
Goldeen,#118,Water,null
Seaking,#119,Water,null
Staryu,#120,Water,null
Starmie,#121,Water,Psychic
Mr. Mime,#122,Psychic,Fairy
Scyther,#123,Bug,Flying
Jynx,#124,Ice,Psychic
Electabuzz,#125,Electric,null
Magmar,#126,Fire,null
Pinsir,#127,Bug,null
Tauros,#128,Normal,null
Magikarp,#129,Water,null
Gyarados,#130,Water,Flying
Lapras,#131,Water,Ice
Ditto,#132,Normal,null
Eevee,#133,Normal,null
Vaporeon,#134,Water,null
Jolteon,#135,Electric,null
Flareon,#136,Fire,null
Porygon,#137,Normal,null
Omanyte,#138,Rock,Water
Omastar,#139,Rock,Water
Kabuto,#140,Rock,Water
Kabutops,#141,Rock,Water
Aerodactyl,#142,Rock,Flying
Snorlax,#143,Normal,null
Articuno,#144,Ice,Flying
Zapdos,#145,Electric,Flying
Moltres,#146,Fire,Flying
Dratini,#147,Dragon,null
Dragonair,#148,Dragon,null
Dragonite,#149,Dragon,Flying
Mewtwo,#150,Psychic,null
Mew,#151,Psychic,null
Meltan,#152,Steel,null
Melmetal,#153,Steel,null
