pokemon_name,pokedex_num,type1,type2
Rowlet,#001,Grass,Flying
Dartrix,#002,Grass,Flying
Decidueye,#003,Grass,Ghost
Litten,#004,Fire,null
Torracat,#005,Fire,null
Incineroar,#006,Fire,Dark
Popplio,#007,Water,null
Brionne,#008,Water,null
Primarina,#009,Water,Fairy
Pikipek,#010,Normal,Flying
Trumbeak,#011,Normal,Flying
Toucannon,#012,Normal,Flying
Yungoos,#013,Normal,null
Gumshoos,#014,Normal,null
Rattata,#015,Dark,Normal
Raticate,#016,Dark,Normal
Caterpie,#017,Bug,null
Metapod,#018,Bug,null
Butterfree,#019,Bug,Flying
Ledyba,#020,Bug,Flying
Ledian,#021,Bug,Flying
Spinarak,#022,Bug,Poison
Ariados,#023,Bug,Poison
Pichu,#024,Electric,null
Pikachu,#025,Electric,null
Raichu,#026,Electric,Psychic
Grubbin,#027,Bug,null
Charjabug,#028,Bug,Electric
Vikavolt,#029,Bug,Electric
Bonsly,#030,Rock,null
Sudowoodo,#031,Rock,null
Happiny,#032,Normal,null
Chansey,#033,Normal,null
Blissey,#034,Normal,null
Munchlax,#035,Normal,null
Snorlax,#036,Normal,null
Slowpoke,#037,Water,Psychic
Slowbro,#038,Water,Psychic
Slowking,#039,Water,Psychic
Wingull,#040,Water,Flying
Pelipper,#041,Water,Flying
Abra,#042,Psychic,null
Kadabra,#043,Psychic,null
Alakazam,#044,Psychic,null
Meowth,#045,Dark,null
Persian,#046,Dark,null
Magnemite,#047,Electric,Steel
Magneton,#048,Electric,Steel
Magnezone,#049,Electric,Steel
Grimer,#050,Poison,Dark
Muk,#051,Poison,Dark
Growlithe,#052,Fire,null
Arcanine,#053,Fire,null
Drowzee,#054,Psychic,null
Hypno,#055,Psychic,null
Makuhita,#056,Fighting,null
Hariyama,#057,Fighting,null
Smeargle,#058,Normal,null
Crabrawler,#059,Fighting,null
Crabominable,#060,Fighting,Ice
Gastly,#061,Ghost,Poison
Haunter,#062,Ghost,Poison
Gengar,#063,Ghost,Poison
Drifloon,#064,Ghost,Flying
Drifblim,#065,Ghost,Flying
Misdreavus,#066,Ghost,null
Mismagius,#067,Ghost,null
Zubat,#068,Poison,Flying
Golbat,#069,Poison,Flying
Crobat,#070,Poison,Flying
Diglett,#071,Ground,Steel
Dugtrio,#072,Ground,Steel
Spearow,#073,Normal,Flying
Fearow,#074,Normal,Flying
Rufflet,#075,Normal,Flying
Braviary,#076,Normal,Flying
Vullaby,#077,Dark,Flying
Mandibuzz,#078,Dark,Flying
Mankey,#079,Fighting,null
Primeape,#080,Fighting,null
Delibird,#081,Ice,Flying
Oricorio,#082,Fire,Flying
Cutiefly,#083,Bug,Fairy
Ribombee,#084,Bug,Fairy
Petilil,#085,Grass,null
Lilligant,#086,Grass,null
Cottonee,#087,Grass,Fairy
Whimsicott,#088,Grass,Fairy
Psyduck,#089,Water,null
Golduck,#090,Water,null
Magikarp,#091,Water,null
Gyarados,#092,Water,Flying
Barboach,#093,Water,Ground
Whiscash,#094,Water,Ground
Machop,#095,Fighting,null
Machoke,#096,Fighting,null
Machamp,#097,Fighting,null
Roggenrola,#098,Rock,null
Boldore,#099,Rock,null
Gigalith,#100,Rock,null
Carbink,#101,Rock,Fairy
Sableye,#102,Dark,Ghost
Rockruff,#103,Rock,null
Lycanroc,#104,Rock,null
Spinda,#105,Normal,null
Tentacool,#106,Water,Poison
Tentacruel,#107,Water,Poison
Finneon,#108,Water,null
Lumineon,#109,Water,null
Wishiwashi,#110,Water,null
Luvdisc,#111,Water,null
Corsola,#112,Water,Rock
Mareanie,#113,Poison,Water
Toxapex,#114,Poison,Water
Shellder,#115,Water,null
Cloyster,#116,Water,Ice
Bagon,#117,Dragon,null
Shelgon,#118,Dragon,null
Salamence,#119,Dragon,Flying
Tapu Koko,#120,Electric,Fairy
