pokemon_name,pokedex_num,type1,type2
Pikipek,#001,Normal,Flying
Trumbeak,#002,Normal,Flying
Toucannon,#003,Normal,Flying
Yungoos,#004,Normal,null
Gumshoos,#005,Normal,null
Rattata,#006,Dark,Normal
Raticate,#007,Dark,Normal
Happiny,#008,Normal,null
Chansey,#009,Normal,null
Blissey,#010,Normal,null
Wingull,#011,Water,Flying
Pelipper,#012,Water,Flying
Drowzee,#013,Psychic,null
Hypno,#014,Psychic,null
Makuhita,#015,Fighting,null
Hariyama,#016,Fighting,null
Crabrawler,#017,Fighting,null
Crabominable,#018,Fighting,Ice
Zubat,#019,Poison,Flying
Golbat,#020,Poison,Flying
Crobat,#021,Poison,Flying
Diglett,#022,Ground,Steel
Dugtrio,#023,Ground,Steel
Spearow,#024,Normal,Flying
Fearow,#025,Normal,Flying
Rufflet,#026,Normal,Flying
Braviary,#027,Normal,Flying
Vullaby,#028,Dark,Flying
Mandibuzz,#029,Dark,Flying
Mankey,#030,Fighting,null
Primeape,#031,Fighting,null
Oricorio,#032,Fire,Flying
Cutiefly,#033,Bug,Fairy
Ribombee,#034,Bug,Fairy
Petilil,#035,Grass,null
Lilligant,#036,Grass,null
Cottonee,#037,Grass,Fairy
Whimsicott,#038,Grass,Fairy
Psyduck,#039,Water,null
Golduck,#040,Water,null
Magikarp,#041,Water,null
Gyarados,#042,Water,Flying
Barboach,#043,Water,Ground
Whiscash,#044,Water,Ground
Machop,#045,Fighting,null
Machoke,#046,Fighting,null
Machamp,#047,Fighting,null
Roggenrola,#048,Rock,null
Boldore,#049,Rock,null
Gigalith,#050,Rock,null
Carbink,#051,Rock,Fairy
Sableye,#052,Dark,Ghost
Rockruff,#053,Rock,null
Lycanroc,#054,Rock,null
Tentacool,#055,Water,Poison
Tentacruel,#056,Water,Poison
Finneon,#057,Water,null
Lumineon,#058,Water,null
Mudbray,#059,Ground,null
Mudsdale,#060,Ground,null
Tauros,#061,Normal,null
Miltank,#062,Normal,null
Stufful,#063,Normal,Fighting
Bewear,#064,Normal,Fighting
Pinsir,#065,Bug,null
Goomy,#066,Dragon,null
Sliggoo,#067,Dragon,null
Goodra,#068,Dragon,null
Castform,#069,Normal,null
Wimpod,#070,Bug,Water
Golisopod,#071,Bug,Water
Skarmory,#072,Steel,Flying
Snubbull,#073,Fairy,null
Granbull,#074,Fairy,null
Shellos,#075,Water,null
Gastrodon,#076,Water,Ground
Relicanth,#077,Water,Rock
Dhelmise,#078,Ghost,Grass
Carvanha,#079,Water,Dark
Sharpedo,#080,Water,Dark
Wailmer,#081,Water,null
Wailord,#082,Water,null
Lapras,#083,Water,Ice
Exeggcute,#084,Grass,Psychic
Exeggutor,#085,Grass,Dragon
Jangmo-o,#086,Dragon,null
Hakamo-o,#087,Dragon,Fighting
Kommo-o,#088,Dragon,Fighting
Emolga,#089,Electric,Flying
Scyther,#090,Bug,Flying
Scizor,#091,Bug,Steel
Murkrow,#092,Dark,Flying
Honchkrow,#093,Dark,Flying
Riolu,#094,Fighting,null
Lucario,#095,Fighting,Steel
Dratini,#096,Dragon,null
Dragonair,#097,Dragon,null
Dragonite,#098,Dragon,Flying
Aerodactyl,#099,Rock,Flying
Tapu Fini,#100,Water,Fairy
