pokemon_name,pokedex_num,type1,type2
Pikipek,#001,Normal,Flying
Trumbeak,#002,Normal,Flying
Toucannon,#003,Normal,Flying
Yungoos,#004,Normal,null
Gumshoos,#005,Normal,null
Rattata,#006,Dark,Normal
Raticate,#007,Dark,Normal
Ledyba,#008,Bug,Flying
Ledian,#009,Bug,Flying
Spinarak,#010,Bug,Poison
Ariados,#011,Bug,Poison
Grubbin,#012,Bug,null
Charjabug,#013,Bug,Electric
Vikavolt,#014,Bug,Electric
Happiny,#015,Normal,null
Chansey,#016,Normal,null
Blissey,#017,Normal,null
Slowpoke,#018,Water,Psychic
Slowbro,#019,Water,Psychic
Slowking,#020,Water,Psychic
Wingull,#021,Water,Flying
Pelipper,#022,Water,Flying
Meowth,#023,Dark,null
Persian,#024,Dark,null
Magnemite,#025,Electric,Steel
Magneton,#026,Electric,Steel
Magnezone,#027,Electric,Steel
Grimer,#028,Poison,Dark
Muk,#029,Poison,Dark
Crabrawler,#030,Fighting,null
Crabominable,#031,Fighting,Ice
Gastly,#032,Ghost,Poison
Haunter,#033,Ghost,Poison
Gengar,#034,Ghost,Poison
Zubat,#035,Poison,Flying
Golbat,#036,Poison,Flying
Crobat,#037,Poison,Flying
Diglett,#038,Ground,Steel
Dugtrio,#039,Ground,Steel
Spearow,#040,Normal,Flying
Fearow,#041,Normal,Flying
Oricorio,#042,Fire,Flying
Cutiefly,#043,Bug,Fairy
Ribombee,#044,Bug,Fairy
Petilil,#045,Grass,null
Lilligant,#046,Grass,null
Cottonee,#047,Grass,Fairy
Whimsicott,#048,Grass,Fairy
Psyduck,#049,Water,null
Golduck,#050,Water,null
Magikarp,#051,Water,null
Gyarados,#052,Water,Flying
Tentacool,#053,Water,Poison
Tentacruel,#054,Water,Poison
Finneon,#055,Water,null
Lumineon,#056,Water,null
Wishiwashi,#057,Water,null
Mudbray,#058,Ground,null
Mudsdale,#059,Ground,null
Surskit,#060,Bug,Water
Masquerain,#061,Bug,Flying
Dewpider,#062,Water,Bug
Araquanid,#063,Water,Bug
Morelull,#064,Grass,Fairy
Shiinotic,#065,Grass,Fairy
Paras,#066,Bug,Grass
Parasect,#067,Bug,Grass
Poliwag,#068,Water,null
Poliwhirl,#069,Water,null
Poliwrath,#070,Water,Fighting
Politoed,#071,Water,null
Goldeen,#072,Water,null
Seaking,#073,Water,null
Goomy,#074,Dragon,null
Sliggoo,#075,Dragon,null
Goodra,#076,Dragon,null
Castform,#077,Normal,null
Trubbish,#078,Poison,null
Garbodor,#079,Poison,null
Skarmory,#080,Steel,Flying
Ditto,#081,Normal,null
Cleffa,#082,Fairy,null
Clefairy,#083,Fairy,null
Clefable,#084,Fairy,null
Minior,#085,Rock,Flying
Beldum,#086,Steel,Psychic
Metang,#087,Steel,Psychic
Metagross,#088,Steel,Psychic
Porygon,#089,Normal,null
Porygon2,#090,Normal,null
Porygon-Z,#091,Normal,null
Pancham,#092,Fighting,null
Pangoro,#093,Fighting,Dark
Komala,#094,Normal,null
Torkoal,#095,Fire,null
Turtonator,#096,Fire,Dragon
Togedemaru,#097,Electric,Steel
Elekid,#098,Electric,null
Electabuzz,#099,Electric,null
Electivire,#100,Electric,null
Geodude,#101,Rock,Electric
Graveler,#102,Rock,Electric
Golem,#103,Rock,Electric
Sandile,#104,Ground,Dark
Krokorok,#105,Ground,Dark
Krookodile,#106,Ground,Dark
Trapinch,#107,Ground,null
Vibrava,#108,Ground,Dragon
Flygon,#109,Ground,Dragon
Gible,#110,Dragon,Ground
Gabite,#111,Dragon,Ground
Garchomp,#112,Dragon,Ground
Klefki,#113,Steel,Fairy
Mimikyu,#114,Ghost,Fairy
Bruxish,#115,Water,Psychic
Drampa,#116,Normal,Dragon
Absol,#117,Dark,null
Snorunt,#118,Ice,null
Glalie,#119,Ice,null
Froslass,#120,Ice,Ghost
Sneasel,#121,Dark,Ice
Weavile,#122,Dark,Ice
Sandshrew,#123,Ice,Steel
Sandslash,#124,Ice,Steel
Vulpix,#125,Ice,null
Ninetales,#126,Ice,Fairy
Vanillite,#127,Ice,null
Vanillish,#128,Ice,null
Vanilluxe,#129,Ice,null
Tapu Bulu,#130,Grass,Fairy
