Name,Number,Type1,Type2
Pikipek,#001,Normal,Flying
Trumbeak,#002,Normal,Flying
Toucannon,#003,Normal,Flying
Yungoos,#004,Normal,null
Gumshoos,#005,Normal,null
Rattata,#006,Dark,Normal
Raticate,#007,Dark,Normal
Caterpie,#008,Bug,null
Metapod,#009,Bug,null
Butterfree,#010,Bug,Flying
Grubbin,#011,Bug,null
Charjabug,#012,Bug,Electric
Vikavolt,#013,Bug,Electric
Bonsly,#014,Rock,null
Sudowoodo,#015,Rock,null
Happiny,#016,Normal,null
Chansey,#017,Normal,null
Blissey,#018,Normal,null
Wingull,#019,Water,Flying
Pelipper,#020,Water,Flying
Crabrawler,#021,Fighting,null
Crabominable,#022,Fighting,Ice
Gastly,#023,Ghost,Poison
Haunter,#024,Ghost,Poison
Gengar,#025,Ghost,Poison
Zubat,#026,Poison,Flying
Golbat,#027,Poison,Flying
Crobat,#028,Poison,Flying
Diglett,#029,Ground,Steel
Dugtrio,#030,Ground,Steel
Oricorio,#031,Fire,Flying
Psyduck,#032,Water,null
Golduck,#033,Water,null
Magikarp,#034,Water,null
Gyarados,#035,Water,Flying
Barboach,#036,Water,Ground
Whiscash,#037,Water,Ground
Tentacool,#038,Water,Poison
Tentacruel,#039,Water,Poison
Finneon,#040,Water,null
Lumineon,#041,Water,null
Wishiwashi,#042,Water,null
Luvdisc,#043,Water,null
Corsola,#044,Water,Rock
Mareanie,#045,Poison,Water
Toxapex,#046,Poison,Water
Remoraid,#047,Water,null
Octillery,#048,Water,null
Mantyke,#049,Water,Flying
Mantine,#050,Water,Flying
Lillipup,#051,Normal,null
Herdier,#052,Normal,null
Stoutland,#053,Normal,null
Eevee,#054,Normal,null
Vaporeon,#055,Water,null
Jolteon,#056,Electric,null
Flareon,#057,Fire,null
Espeon,#058,Psychic,null
Umbreon,#059,Dark,null
Leafeon,#060,Grass,null
Glaceon,#061,Ice,null
Sylveon,#062,Fairy,null
Mareep,#063,Electric,null
Flaaffy,#064,Electric,null
Ampharos,#065,Electric,null
Mudbray,#066,Ground,null
Mudsdale,#067,Ground,null
Igglybuff,#068,Normal,Fairy
Jigglypuff,#069,Normal,Fairy
Wigglytuff,#070,Normal,Fairy
Tauros,#071,Normal,null
Miltank,#072,Normal,null
Surskit,#073,Bug,Water
Masquerain,#074,Bug,Flying
Dewpider,#075,Water,Bug
Araquanid,#076,Water,Bug
Fomantis,#077,Grass,null
Lurantis,#078,Grass,null
Morelull,#079,Grass,Fairy
Shiinotic,#080,Grass,Fairy
Paras,#081,Bug,Grass
Parasect,#082,Bug,Grass
Poliwag,#083,Water,null
Poliwhirl,#084,Water,null
Poliwrath,#085,Water,Fighting
Politoed,#086,Water,null
Goldeen,#087,Water,null
Seaking,#088,Water,null
Basculin,#089,Water,null
Feebas,#090,Water,null
Milotic,#091,Water,null
Alomomola,#092,Water,null
Fletchling,#093,Normal,Flying
Fletchinder,#094,Fire,Flying
Talonflame,#095,Fire,Flying
Salandit,#096,Poison,Fire
Salazzle,#097,Poison,Fire
Cubone,#098,Ground,null
Marowak,#099,Fire,Ghost
Kangaskhan,#100,Normal,null
Magby,#101,Fire,null
Magmar,#102,Fire,null
Magmortar,#103,Fire,null
Larvesta,#104,Bug,Fire
Volcarona,#105,Bug,Fire
Stufful,#106,Normal,Fighting
Bewear,#107,Normal,Fighting
Bounsweet,#108,Grass,null
Steenee,#109,Grass,null
Tsareena,#110,Grass,null
Comfey,#111,Fairy,null
Pinsir,#112,Bug,null
Hoothoot,#113,Normal,Flying
Noctowl,#114,Normal,Flying
Kecleon,#115,Normal,null
Oranguru,#116,Normal,Psychic
Passimian,#117,Fighting,null
Goomy,#118,Dragon,null
Sliggoo,#119,Dragon,null
Goodra,#120,Dragon,null
Castform,#121,Normal,null
Wimpod,#122,Bug,Water
Golisopod,#123,Bug,Water
Staryu,#124,Water,null
Starmie,#125,Water,Psychic
Sandygast,#126,Ghost,Ground
Palossand,#127,Ghost,Ground
Omanyte,#128,Rock,Water
Omastar,#129,Rock,Water
Kabuto,#130,Rock,Water
Kabutops,#131,Rock,Water
Lileep,#132,Rock,Grass
Cradily,#133,Rock,Grass
Anorith,#134,Rock,Bug
Armaldo,#135,Rock,Bug
Cranidos,#136,Rock,null
Rampardos,#137,Rock,null
Shieldon,#138,Rock,Steel
Bastiodon,#139,Rock,Steel
Archen,#140,Rock,Flying
Archeops,#141,Rock,Flying
Tirtouga,#142,Water,Rock
Carracosta,#143,Water,Rock
Tyrunt,#144,Rock,Dragon
Tyrantrum,#145,Rock,Dragon
Amaura,#146,Rock,Ice
Aurorus,#147,Rock,Ice
Larvitar,#148,Rock,Ground
Pupitar,#149,Rock,Ground
Tyranitar,#150,Rock,Dark
Phantump,#151,Ghost,Grass
Trevenant,#152,Ghost,Grass
Natu,#153,Psychic,Flying
Xatu,#154,Psychic,Flying
Nosepass,#155,Rock,null
Probopass,#156,Rock,Steel
Pyukumuku,#157,Water,null
Chinchou,#158,Water,Electric
Lanturn,#159,Water,Electric
Tapu Lele,#160,Psychic,Fairy
