Name,Number,Type1,Type2
Rowlet,#001,Grass,Flying
Dartrix,#002,Grass,Flying
Decidueye,#003,Grass,Ghost
Litten,#004,Fire,null
Torracat,#005,Fire,null
Incineroar,#006,Fire,Dark
Popplio,#007,Water,null
Brionne,#008,Water,null
Primarina,#009,Water,Fairy
Pikipek,#010,Normal,Flying
Trumbeak,#011,Normal,Flying
Toucannon,#012,Normal,Flying
Yungoos,#013,Normal,null
Gumshoos,#014,Normal,null
Rattata,#015,Dark,Normal
Raticate,#016,Dark,Normal
Caterpie,#017,Bug,null
Metapod,#018,Bug,null
Butterfree,#019,Bug,Flying
Ledyba,#020,Bug,Flying
Ledian,#021,Bug,Flying
Spinarak,#022,Bug,Poison
Ariados,#023,Bug,Poison
Buneary,#024,Normal,null
Lopunny,#025,Normal,null
Inkay,#026,Dark,Psychic
Malamar,#027,Dark,Psychic
Zorua,#028,Dark,null
Zoroark,#029,Dark,null
Furfrou,#030,Normal,null
Pichu,#031,Electric,null
Pikachu,#032,Electric,null
Raichu,#033,Electric,Psychic
Grubbin,#034,Bug,null
Charjabug,#035,Bug,Electric
Vikavolt,#036,Bug,Electric
Bonsly,#037,Rock,null
Sudowoodo,#038,Rock,null
Happiny,#039,Normal,null
Chansey,#040,Normal,null
Blissey,#041,Normal,null
Munchlax,#042,Normal,null
Snorlax,#043,Normal,null
Slowpoke,#044,Water,Psychic
Slowbro,#045,Water,Psychic
Slowking,#046,Water,Psychic
Wingull,#047,Water,Flying
Pelipper,#048,Water,Flying
Abra,#049,Psychic,null
Kadabra,#050,Psychic,null
Alakazam,#051,Psychic,null
Meowth,#052,Dark,null
Persian,#053,Dark,null
Magnemite,#054,Electric,Steel
Magneton,#055,Electric,Steel
Magnezone,#056,Electric,Steel
Grimer,#057,Poison,Dark
Muk,#058,Poison,Dark
Mime Jr.#059,Psychic,Fairy
Mr. Mime,#060,Psychic,Fairy
Ekans,#061,Poison,null
Arbok,#062,Poison,null
Dunsparce,#063,Normal,null
Growlithe,#064,Fire,null
Arcanine,#065,Fire,null
Drowzee,#066,Psychic,null
Hypno,#067,Psychic,null
Makuhita,#068,Fighting,null
Hariyama,#069,Fighting,null
Smeargle,#070,Normal,null
Crabrawler,#071,Fighting,null
Crabominable,#072,Fighting,Ice
Gastly,#073,Ghost,Poison
Haunter,#074,Ghost,Poison
Gengar,#075,Ghost,Poison
Drifloon,#076,Ghost,Flying
Drifblim,#077,Ghost,Flying
Murkrow,#078,Dark,Flying
Honchkrow,#079,Dark,Flying
Zubat,#080,Poison,Flying
Golbat,#081,Poison,Flying
Crobat,#082,Poison,Flying
Noibat,#083,Flying,Dragon
Noivern,#084,Flying,Dragon
Diglett,#085,Ground,Steel
Dugtrio,#086,Ground,Steel
Spearow,#087,Normal,Flying
Fearow,#088,Normal,Flying
Rufflet,#089,Normal,Flying
Braviary,#090,Normal,Flying
Vullaby,#091,Dark,Flying
Mandibuzz,#092,Dark,Flying
Mankey,#093,Fighting,null
Primeape,#094,Fighting,null
Delibird,#095,Ice,Flying
Hawlucha,#096,Fighting,Flying
Oricorio,#097,Fire,Flying
Cutiefly,#098,Bug,Fairy
Ribombee,#099,Bug,Fairy
Flabébé,#100,Fairy,null
Floette,#101,Fairy,null
Florges,#102,Fairy,null
Petilil,#103,Grass,null
Lilligant,#104,Grass,null
Cottonee,#105,Grass,Fairy
Whimsicott,#106,Grass,Fairy
Psyduck,#107,Water,null
Golduck,#108,Water,null
Smoochum,#109,Ice,Psychic
Jynx,#110,Ice,Psychic
Magikarp,#111,Water,null
Gyarados,#112,Water,Flying
Barboach,#113,Water,Ground
Whiscash,#114,Water,Ground
Seel,#115,Water,null
Dewgong,#116,Water,Ice
Machop,#117,Fighting,null
Machoke,#118,Fighting,null
Machamp,#119,Fighting,null
Roggenrola,#120,Rock,null
Boldore,#121,Rock,null
Gigalith,#122,Rock,null
Carbink,#123,Rock,Fairy
Sableye,#124,Dark,Ghost
Mawile,#125,Steel,Fairy
Rockruff,#126,Rock,null
Lycanroc,#127,Rock,null
Spinda,#128,Normal,null
Tentacool,#129,Water,Poison
Tentacruel,#130,Water,Poison
Finneon,#131,Water,null
Lumineon,#132,Water,null
Wishiwashi,#133,Water,null
Luvdisc,#134,Water,null
Corsola,#135,Water,Rock
Mareanie,#136,Poison,Water
Toxapex,#137,Poison,Water
Shellder,#138,Water,null
Cloyster,#139,Water,Ice
Clamperl,#140,Water,null
Huntail,#141,Water,null
Gorebyss,#142,Water,null
Remoraid,#143,Water,null
Octillery,#144,Water,null
Mantyke,#145,Water,Flying
Mantine,#146,Water,Flying
Bagon,#147,Dragon,null
Shelgon,#148,Dragon,null
Salamence,#149,Dragon,Flying
Tapu Koko,#150,Electric,Fairy
