Name,Number,Type1,Type2
Pikipek,#001,Normal,Flying
Trumbeak,#002,Normal,Flying
Toucannon,#003,Normal,Flying
Yungoos,#004,Normal,null
Gumshoos,#005,Normal,null
Rattata,#006,Dark,Normal
Raticate,#007,Dark,Normal
Buneary,#008,Normal,null
Lopunny,#009,Normal,null
Inkay,#010,Dark,Psychic
Malamar,#011,Dark,Psychic
Zorua,#012,Dark,null
Zoroark,#013,Dark,null
Furfrou,#014,Normal,null
Happiny,#015,Normal,null
Chansey,#016,Normal,null
Blissey,#017,Normal,null
Wingull,#018,Water,Flying
Pelipper,#019,Water,Flying
Drowzee,#020,Psychic,null
Hypno,#021,Psychic,null
Makuhita,#022,Fighting,null
Hariyama,#023,Fighting,null
Crabrawler,#024,Fighting,null
Crabominable,#025,Fighting,Ice
Zubat,#026,Poison,Flying
Golbat,#027,Poison,Flying
Crobat,#028,Poison,Flying
Noibat,#029,Flying,Dragon
Noivern,#030,Flying,Dragon
Diglett,#031,Ground,Steel
Dugtrio,#032,Ground,Steel
Spearow,#033,Normal,Flying
Fearow,#034,Normal,Flying
Rufflet,#035,Normal,Flying
Braviary,#036,Normal,Flying
Vullaby,#037,Dark,Flying
Mandibuzz,#038,Dark,Flying
Mankey,#039,Fighting,null
Primeape,#040,Fighting,null
Oricorio,#041,Fire,Flying
Cutiefly,#042,Bug,Fairy
Ribombee,#043,Bug,Fairy
Flabébé,#044,Fairy,null
Floette,#045,Fairy,null
Florges,#046,Fairy,null
Petilil,#047,Grass,null
Lilligant,#048,Grass,null
Cottonee,#049,Grass,Fairy
Whimsicott,#050,Grass,Fairy
Psyduck,#051,Water,null
Golduck,#052,Water,null
Magikarp,#053,Water,null
Gyarados,#054,Water,Flying
Barboach,#055,Water,Ground
Whiscash,#056,Water,Ground
Machop,#057,Fighting,null
Machoke,#058,Fighting,null
Machamp,#059,Fighting,null
Roggenrola,#060,Rock,null
Boldore,#061,Rock,null
Gigalith,#062,Rock,null
Carbink,#063,Rock,Fairy
Sableye,#064,Dark,Ghost
Rockruff,#065,Rock,null
Lycanroc,#066,Rock,null
Tentacool,#067,Water,Poison
Tentacruel,#068,Water,Poison
Finneon,#069,Water,null
Lumineon,#070,Water,null
Mudbray,#071,Ground,null
Mudsdale,#072,Ground,null
Tauros,#073,Normal,null
Miltank,#074,Normal,null
Basculin,#075,Water,null
Stufful,#076,Normal,Fighting
Bewear,#077,Normal,Fighting
Pinsir,#078,Bug,null
Goomy,#079,Dragon,null
Sliggoo,#080,Dragon,null
Goodra,#081,Dragon,null
Castform,#082,Normal,null
Wimpod,#083,Bug,Water
Golisopod,#084,Bug,Water
Skarmory,#085,Steel,Flying
Snubbull,#086,Fairy,null
Granbull,#087,Fairy,null
Shellos,#088,Water,null
Gastrodon,#089,Water,Ground
Relicanth,#090,Water,Rock
Dhelmise,#091,Ghost,Grass
Carvanha,#092,Water,Dark
Sharpedo,#093,Water,Dark
Skrelp,#094,Poison,Water
Dragalge,#095,Poison,Dragon
Clauncher,#096,Water,null
Clawitzer,#097,Water,null
Wailmer,#098,Water,null
Wailord,#099,Water,null
Lapras,#100,Water,Ice
Tropius,#101,Grass,Flying
Exeggcute,#102,Grass,Psychic
Exeggutor,#103,Grass,Dragon
Corphish,#104,Water,null
Crawdaunt,#105,Water,Dark
Mienfoo,#106,Fighting,null
Mienshao,#107,Fighting,null
Jangmo-o,#108,Dragon,null
Hakamo-o,#109,Dragon,Fighting
Kommo-o,#110,Dragon,Fighting
Emolga,#111,Electric,Flying
Scyther,#112,Bug,Flying
Scizor,#113,Bug,Steel
Heracross,#114,Bug,Fighting
Aipom,#115,Normal,null
Ambipom,#116,Normal,null
Litleo,#117,Fire,Normal
Pyroar,#118,Fire,Normal
Misdreavus,#119,Ghost,null
Mismagius,#120,Ghost,null
Druddigon,#121,Dragon,null
Lickitung,#122,Normal,null
Lickilicky,#123,Normal,null
Riolu,#124,Fighting,null
Lucario,#125,Fighting,Steel
Dratini,#126,Dragon,null
Dragonair,#127,Dragon,null
Dragonite,#128,Dragon,Flying
Aerodactyl,#129,Rock,Flying
Tapu Fini,#130,Water,Fairy
