pokemon_name,pokedex_num,pkmn,type1,type2
Rowlet,001,Rowlet,Grass,Flying
Dartrix,002,Dartrix,Grass,Flying
Decidueye,003,Decidueye,Grass,Fighting
Cyndaquil,004,Cyndaquil,Fire,null
Quilava,005,Quilava,Fire,null
Typhlosion,006,Typhlosion,Fire,Ghost
Oshawott,007,Oshawott,Water,null
Dewott,008,Dewott,Water,null
Samurott,009,Samurott,Water,Dark
Bidoof,010,Bidoof,Normal,null
Bibarel,011,Bibarel,Normal,Water
Starly,012,Starly,Normal,Flying
Staravia,013,Staravia,Normal,Flying
Staraptor,014,Staraptor,Normal,Flying
Shinx,015,Shinx,Electric,null
Luxio,016,Luxio,Electric,null
Luxray,017,Luxray,Electric,null
Wurmple,018,Wurmple,Bug,null
Silcoon,019,Silcoon,Bug,null
Beautifly,020,Beautifly,Bug,Flying
Cascoon,021,Cascoon,Bug,null
Dustox,022,Dustox,Bug,Poison
Ponyta,023,Ponyta,Fire,null
Rapidash,024,Rapidash,Fire,null
Eevee,025,Eevee,Normal,null
Vaporeon,026,Vaporeon,Water,null
Jolteon,027,Jolteon,Electric,null
Flareon,028,Flareon,Fire,null
Espeon,029,Espeon,Psychic,null
Umbreon,030,Umbreon,Dark,null
Leafeon,031,Leafeon,Grass,null
Glaceon,032,Glaceon,Ice,null
Sylveon,033,Sylveon,Fairy,null
Zubat,034,Zubat,Poison,Flying
Golbat,035,Golbat,Poison,Flying
Crobat,036,Crobat,Poison,Flying
Drifloon,037,Drifloon,Ghost,Flying
Drifblim,038,Drifblim,Ghost,Flying
Kricketot,039,Kricketot,Bug,null
Kricketune,040,Kricketune,Bug,null
Buizel,041,Buizel,Water,null
Floatzel,042,Floatzel,Water,null
Burmy,043,Burmy,Bug,null
Wormadam,044,Wormadam,Bug,Grass
Mothim,045,Mothim,Bug,Flying
Geodude,046,Geodude,Rock,Ground
Graveler,047,Graveler,Rock,Ground
Golem,048,Golem,Rock,Ground
Stantler,049,Stantler,Normal,null
Wyrdeer,050,Wyrdeer,Normal,Psychic
Munchlax,051,Munchlax,Normal,null
Snorlax,052,Snorlax,Normal,null
Paras,053,Paras,Bug,Grass
Parasect,054,Parasect,Bug,Grass
Pichu,055,Pichu,Electric,null
Pikachu,056,Pikachu,Electric,null
Raichu,057,Raichu,Electric,null
Abra,058,Abra,Psychic,null
