ID,Name,Type1,Type2
#001,Turtwig,Grass,null
#002,Grotle,Grass,null
#003,Torterra,Grass,Ground
#004,Chimchar,Fire,null
#005,Monferno,Fire,Fighting
#006,Infernape,Fire,Fighting
#007,Piplup,Water,null
#008,Prinplup,Water,null
#009,Empoleon,Water,Steel
#010,Starly,Normal,Flying
#011,Staravia,Normal,Flying
#012,Staraptor,Normal,Flying
#013,Bidoof,Normal,null
#014,Bibarel,Normal,Water
#015,Kricketot,Bug,null
#016,Kricketune,Bug,null
#017,Shinx,Electric,null
#018,Luxio,Electric,null
#019,Luxray,Electric,null
#020,Abra,Psychic,null
#021,Kadabra,Psychic,null
#022,Alakazam,Psychic,null
#023,Magikarp,Water,null
#024,Gyarados,Water,Flying
#025,Budew,Grass,Poison
#026,Roselia,Grass,Poison
#027,Roserade,Grass,Poison
#028,Zubat,Poison,Flying
#029,Golbat,Poison,Flying
#030,Crobat,Poison,Flying
#031,Geodude,Rock,Ground
#032,Graveler,Rock,Ground
#033,Golem,Rock,Ground
#034,Onix,Rock,Ground
#035,Steelix,Steel,Ground
#036,Cranidos,Rock,null
#037,Rampardos,Rock,null
#038,Shieldon,Rock,Steel
#039,Bastiodon,Rock,Steel
#040,Machop,Fighting,null
#041,Machoke,Fighting,null
#042,Machamp,Fighting,null
#043,Psyduck,Water,null
#044,Golduck,Water,null
#045,Burmy,Bug,null
#046,Wormadam,Bug,Grass
#047,Mothim,Bug,Flying
#048,Wurmple,Bug,null
#049,Silcoon,Bug,null
#050,Beautifly,Bug,Flying
#051,Cascoon,Bug,null
#052,Dustox,Bug,Poison
#053,Combee,Bug,Flying
#054,Vespiquen,Bug,Flying
#055,Pachirisu,Electric,null
#056,Buizel,Water,null
#057,Floatzel,Water,null
#058,Cherubi,Grass,null
#059,Cherrim,Grass,null
#060,Shellos,Water,null
#061,Gastrodon,Water,Ground
#062,Heracross,Bug,Fighting
#063,Aipom,Normal,null
#064,Ambipom,Normal,null
#065,Drifloon,Ghost,Flying
#066,Drifblim,Ghost,Flying
#067,Buneary,Normal,null
#068,Lopunny,Normal,null
#069,Gastly,Ghost,Poison
#070,Haunter,Ghost,Poison
#071,Gengar,Ghost,Poison
#072,Misdreavus,Ghost,null
#073,Mismagius,Ghost,null
#074,Murkrow,Dark,Flying
#075,Honchkrow,Dark,Flying
#076,Glameow,Normal,null
#077,Purugly,Normal,null
#078,Goldeen,Water,null
#079,Seaking,Water,null
#080,Barboach,Water,Ground
#081,Whiscash,Water,Ground
#082,Chingling,Psychic,null
#083,Chimecho,Psychic,null
#084,Stunky,Poison,Dark
#085,Skuntank,Poison,Dark
#086,Meditite,Fighting,Psychic
#087,Medicham,Fighting,Psychic
#088,Bronzor,Steel,Psychic
#089,Bronzong,Steel,Psychic
#090,Ponyta,Fire,null
#091,Rapidash,Fire,null
#092,Bonsly,Rock,null
#093,Sudowoodo,Rock,null
#094,Mime Jr.,Psychic,Fairy
#095,Mr. Mime,Psychic,Fairy
#096,Happiny,Normal,null
#097,Chansey,Normal,null
#098,Blissey,Normal,null
#099,Cleffa,Fairy,null
#100,Clefairy,Fairy,null
#101,Clefable,Fairy,null
#102,Chatot,Normal,Flying
#103,Pichu,Electric,null
#104,Pikachu,Electric,null
#105,Raichu,Electric,null
#106,Hoothoot,Normal,Flying
#107,Noctowl,Normal,Flying
#108,Spiritomb,Ghost,Dark
#109,Gible,Dragon,Ground
#110,Gabite,Dragon,Ground
#111,Garchomp,Dragon,Ground
#112,Munchlax,Normal,null
#113,Snorlax,Normal,null
#114,Unown,Psychic,null
#115,Riolu,Fighting,null
#116,Lucario,Fighting,Steel
#117,Wooper,Water,Ground
#118,Quagsire,Water,Ground
#119,Wingull,Water,Flying
#120,Pelipper,Water,Flying
#121,Girafarig,Normal,Psychic
#122,Hippopotas,Ground,null
#123,Hippowdon,Ground,null
#124,Azurill,Normal,Fairy
#125,Marill,Water,Fairy
#126,Azumarill,Water,Fairy
#127,Skorupi,Poison,Bug
#128,Drapion,Poison,Dark
#129,Croagunk,Poison,Fighting
#130,Toxicroak,Poison,Fighting
#131,Carnivine,Grass,null
#132,Remoraid,Water,null
#133,Octillery,Water,null
#134,Finneon,Water,null
#135,Lumineon,Water,null
#136,Tentacool,Water,Poison
#137,Tentacruel,Water,Poison
#138,Feebas,Water,null
#139,Milotic,Water,null
#140,Mantyke,Water,Flying
#141,Mantine,Water,Flying
#142,Snover,Grass,Ice
#143,Abomasnow,Grass,Ice
#144,Sneasel,Dark,Ice
#145,Weavile,Dark,Ice
#146,Uxie,Psychic,null
#147,Mesprit,Psychic,null
#148,Azelf,Psychic,null
#149,Dialga,Steel,Dragon
#150,Palkia,Water,Dragon
#151,Manaphy,Water,null
