pokemon_name,pokedex_num,pkmn,type1,type2
Sprigatito,#0001,Sprigatito,Grass,null
Floragato,#0002,Floragato,Grass,null
Meowscarada,#0003,Meowscarada,Grass,Dark
Fuecoco,#0004,Fuecoco,Fire,null
Crocalor,#0005,Crocalor,Fire,null
Skeledirge,#0006,Skeledirge,Fire,Ghost
Quaxly,#0007,Quaxly,Water,null
Quaxwell,#0008,Quaxwell,Water,null
Quaquaval,#0009,Quaquaval,Water,Fighting
Lechonk,#0010,Lechonk,Normal,null
Oinkologne,#0011,Oinkologne,Normal,null
Tarountula,#0012,Tarountula,Bug,null
Spidops,#0013,Spidops,Bug,null
Nymble,#0014,Nymble,Bug,null
Lokix,#0015,Lokix,Bug,Dark
Hoppip,#0016,Hoppip,Grass,Flying
Skiploom,#0017,Skiploom,Grass,Flying
Jumpluff,#0018,Jumpluff,Grass,Flying
Fletchling,#0019,Fletchling,Normal,Flying
Fletchinder,#0020,Fletchinder,Fire,Flying
Talonflame,#0021,Talonflame,Fire,Flying
Pawmi,#0022,Pawmi,Electric,null
Pawmo,#0023,Pawmo,Electric,Fighting
Pawmot,#0024,Pawmot,Electric,Fighting
Houndour,#0025,Houndour,Dark,Fire
Houndoom,#0026,Houndoom,Dark,Fire
Yungoos,#0027,Yungoos,Normal,null
Gumshoos,#0028,Gumshoos,Normal,null
Skwovet,#0029,Skwovet,Normal,null
Greedent,#0030,Greedent,Normal,null
Sunkern,#0031,Sunkern,Grass,null
Sunflora,#0032,Sunflora,Grass,null
Kricketot,#0033,Kricketot,Bug,null
Kricketune,#0034,Kricketune,Bug,null
Scatterbug,#0035,Scatterbug,Bug,null
Spewpa,#0036,Spewpa,Bug,null
Vivillon,#0037,Vivillon,Bug,Flying
Combee,#0038,Combee,Bug,Flying
Vespiquen,#0039,Vespiquen,Bug,Flying
Rookidee,#0040,Rookidee,Flying,null
Corvisquire,#0041,Corvisquire,Flying,null
Corviknight,#0042,Corviknight,Flying,Steel
Happiny,#0043,Happiny,Normal,null
Chansey,#0044,Chansey,Normal,null
Blissey,#0045,Blissey,Normal,null
Azurill,#0046,Azurill,Normal,Fairy
Marill,#0047,Marill,Water,Fairy
Azumarill,#0048,Azumarill,Water,Fairy
Surskit,#0049,Surskit,Bug,Water
Masquerain,#0050,Masquerain,Bug,Flying
Buizel,#0051,Buizel,Water,null
Floatzel,#0052,Floatzel,Water,null
Wooper,#0053,Wooper,Poison,Ground
Clodsire,#0054,Clodsire,Poison,Ground
Psyduck,#0055,Psyduck,Water,null
Golduck,#0056,Golduck,Water,null
Chewtle,#0057,Chewtle,Water,null
Drednaw,#0058,Drednaw,Water,Rock
Igglybuff,#0059,Igglybuff,Normal,Fairy
Jigglypuff,#0060,Jigglypuff,Normal,Fairy
Wigglytuff,#0061,Wigglytuff,Normal,Fairy
Ralts,#0062,Ralts,Psychic,Fairy
Kirlia,#0063,Kirlia,Psychic,Fairy
Gardevoir,#0064,Gardevoir,Psychic,Fairy
Gallade,#0065,Gallade,Psychic,Fighting
Drowzee,#0066,Drowzee,Psychic,null
Hypno,#0067,Hypno,Psychic,null
Gastly,#0068,Gastly,Ghost,Poison
Haunter,#0069,Haunter,Ghost,Poison
Gengar,#0070,Gengar,Ghost,Poison
Tandemaus,#0071,Tandemaus,Normal,null
Maushold,#0072,Maushold,Normal,null
Pichu,#0073,Pichu,Electric,null
Pikachu,#0074,Pikachu,Electric,null
Raichu,#0075,Raichu,Electric,null
Fidough,#0076,Fidough,Fairy,null
Dachsbun,#0077,Dachsbun,Fairy,null
Slakoth,#0078,Slakoth,Normal,null
Vigoroth,#0079,Vigoroth,Normal,null
Slaking,#0080,Slaking,Normal,null
Bounsweet,#0081,Bounsweet,Grass,null
Steenee,#0082,Steenee,Grass,null
Tsareena,#0083,Tsareena,Grass,null
Smoliv,#0084,Smoliv,Grass,Normal
Dolliv,#0085,Dolliv,Grass,Normal
Arboliva,#0086,Arboliva,Grass,Normal
Bonsly,#0087,Bonsly,Rock,null
Sudowoodo,#0088,Sudowoodo,Rock,null
Rockruff,#0089,Rockruff,Rock,null
Lycanroc,#0090,Lycanroc,Rock,null
Rolycoly,#0091,Rolycoly,Rock,null
Carkol,#0092,Carkol,Rock,Fire
Coalossal,#0093,Coalossal,Rock,Fire
Shinx,#0094,Shinx,Electric,null
Luxio,#0095,Luxio,Electric,null
Luxray,#0096,Luxray,Electric,null
Starly,#0097,Starly,Normal,Flying
Staravia,#0098,Staravia,Normal,Flying
Staraptor,#0099,Staraptor,Normal,Flying
